# sol, $t_0$, $\Delta P_0$, $\Gamma$, ${\rm max}|F - \overline{F}|\overline{F}$
15, 16:18:50$\pm$3, 0.42$\pm$0.04, 61$\pm$14, -
15, 16:22:14.5$\pm$0.4, 0.98$\pm$0.07, 12$\pm$2, -
16, 12:47:08.1$\pm$0.7, 0.39$\pm$0.03, 23$\pm$3, 0.001691$\pm$5e-06
16, 14:38:12.1$\pm$0.5, 0.38$\pm$0.01, 30$\pm$2, -
16, 15:23:00.2$\pm$0.2, 0.64$\pm$0.09, 2.0$\pm$0.4, -
17, 12:16:24.9$\pm$1.0, 0.57$\pm$0.01, 81$\pm$4, -
17, 12:32:08.1$\pm$0.7, 0.49$\pm$0.09, 8$\pm$3, -
17, 16:17:54.9$\pm$0.3, 0.7$\pm$0.01, 49$\pm$2, -
17, 17:51:29.1$\pm$0.1, 0.368$\pm$0.008, 13.0$\pm$0.5, -
18, 11:00:13.3$\pm$0.3, 0.42$\pm$0.03, 10$\pm$1, -
18, 12:40:46.5$\pm$0.2, 0.52$\pm$0.06, 3.1$\pm$0.6, 0.009285$\pm$8e-06
18, 12:49:44$\pm$1, 0.39$\pm$0.02, 48$\pm$5, -
18, 12:58:38$\pm$1, 0.24$\pm$0.02, 29$\pm$4, -
18, 13:03:06.4$\pm$0.3, 0.39$\pm$0.02, 14$\pm$1, -
18, 15:25:14.8$\pm$0.3, 0.72$\pm$0.01, 39$\pm$2, -
18, 16:39:35$\pm$1, 0.32$\pm$0.01, 103$\pm$7, -
18, 16:46:44.7$\pm$0.7, 0.37$\pm$0.01, 38$\pm$3, -
18, 17:09:21$\pm$4, 0.33$\pm$0.04, 117$\pm$22, -
20, 12:14:27.5$\pm$0.3, 0.54$\pm$0.02, 17$\pm$1, -
20, 14:05:33.7$\pm$0.7, 0.42$\pm$0.02, 43$\pm$3, -
21, 11:12:39.2$\pm$0.8, 0.36$\pm$0.01, 45$\pm$3, -
21, 13:08:27.6$\pm$0.1, 3.1$\pm$0.2, 3.0$\pm$0.5, 0.001929$\pm$3e-06
21, 13:34:39.0$\pm$0.6, 0.46$\pm$0.007, 75$\pm$3, -
21, 13:52:40.0$\pm$0.1, 0.58$\pm$0.02, 7.5$\pm$0.5, 0.01$\pm$1e-05
21, 15:05:18.9$\pm$0.5, 0.37$\pm$0.01, 28$\pm$2, -
28, 12:08:17.1$\pm$0.2, 0.572$\pm$0.009, 23.5$\pm$0.8, 0.00717$\pm$1e-05
28, 12:22:10.20$\pm$0.08, 1.49$\pm$0.09, 2.6$\pm$0.3, -
28, 14:16:47.63$\pm$0.08, 0.86$\pm$0.03, 4.2$\pm$0.3, -
28, 14:21:38.1$\pm$0.9, 0.42$\pm$0.02, 44$\pm$4, -
29, 13:05:30.1$\pm$0.7, 1.03$\pm$0.02, 88$\pm$4, -
29, 13:17:07.0$\pm$0.1, 0.61$\pm$0.08, 2.0$\pm$0.4, -
29, 16:38:00.9$\pm$0.5, 0.33$\pm$0.01, 33$\pm$2, -
30, 18:18:27.7$\pm$0.7, 0.92$\pm$0.01, 138$\pm$4, -
31, 11:01:25.3$\pm$0.6, 0.54$\pm$0.01, 55$\pm$3, -
31, 11:24:07.5$\pm$0.7, 0.23$\pm$0.02, 19$\pm$2, -
31, 11:33:53.6$\pm$0.2, 0.44$\pm$0.02, 8.7$\pm$0.8, 0.002614$\pm$3e-06
